id,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6
293,Iona,Sandcroft,Louisiana,Cholecap,18,20,4,4,7,6,154,70,66,50,160,119
294,Maddi,Hanssmann,New York,Cholecap,0,10,11,3,0,6,168,83,76,107,128,117
295,Robinia,Oades,Arizona,Cholecap,0,1,5,5,8,18,68,74,170,186,149,57
296,Shawna,Simon,Minnesota,Cholecap,17,18,5,3,7,4,191,81,199,77,192,11
297,Far,Joburn,Tennessee,Cholecap,10,9,10,15,5,2,163,39,17,167,43,16
298,Jenifer,Eudall,Ohio,Cholecap,16,9,4,3,6,14,5,175,187,115,137,178
299,Belva,Tubble,Florida,Cholecap,6,4,16,2,7,19,127,43,168,22,47,191
300,Agretha,Jancy,New York,Cholecap,15,18,2,9,20,0,184,34,98,54,18,79
301,Carie,Kingsnode,Iowa,Cholecap,1,15,2,4,19,17,142,113,197,125,56,187
302,Loleta,Everington,California,Cholecap,19,9,17,16,11,12,46,89,200,124,62,45
303,Sonny,Field,Florida,Cholecap,2,11,20,20,7,15,170,187,195,141,177,175
304,Claresta,Boorn,Missouri,Cholecap,13,17,5,7,18,5,21,116,190,129,3,99
305,Teddie,Markovic,California,Cholecap,7,0,14,11,13,9,69,197,88,158,11,191
306,Borg,Marwood,Connecticut,Cholecap,18,3,10,9,0,16,187,2,82,157,31,136
307,Wells,Fraine,Michigan,Cholecap,19,4,16,16,9,14,38,172,106,177,104,65
308,Yancey,Lared,California,Cholecap,15,5,4,0,4,4,82,138,78,1,121,122
309,Donella,Sandham,New York,Cholecap,3,6,7,1,2,17,38,106,30,122,154,103
310,Aurea,Font,Colorado,Cholecap,12,1,15,4,8,2,32,167,85,27,4,92
311,Kirstyn,Peschmann,Alaska,Cholecap,10,9,17,14,16,18,191,68,64,134,12,158
312,Lian,Boarleyson,Colorado,Cholecap,0,15,0,16,18,17,22,163,145,181,71,176
313,Renate,Waterstone,Massachusetts,Cholecap,11,6,6,1,1,15,95,77,25,77,110,33
314,Cacilia,Farren,South Carolina,Cholecap,4,10,2,15,14,13,170,170,47,110,23,60
315,Lou,Skillington,California,Cholecap,19,16,5,18,18,16,193,55,0,24,155,149
316,Isacco,Crampton,New York,Cholecap,13,0,17,3,7,17,134,60,199,187,126,52
317,Stacy,Yeatman,Florida,Cholecap,4,16,3,15,11,0,175,10,54,19,50,12
318,Ursulina,Spooner,District of Columbia,Cholecap,12,5,18,13,2,0,196,71,172,31,112,4
319,Rinaldo,De La Hay,Texas,Cholecap,18,5,7,4,10,6,59,9,75,178,88,146
320,Massimiliano,Bradford,North Carolina,Cholecap,3,3,19,18,10,19,170,24,144,161,28,161
321,Tisha,Bader,Connecticut,Cholecap,19,2,8,10,8,2,139,97,41,116,3,130
322,Catherina,Darey,New York,Cholecap,8,5,8,12,19,0,83,84,69,5,101,0
323,Niko,Rawstorn,Oklahoma,Cholecap,9,16,4,9,4,3,49,143,137,13,156,199
324,Valeria,Munro,Florida,Cholecap,18,3,1,12,8,15,105,141,109,43,31,150
325,Roz,Clineck,Texas,Cholecap,18,19,6,19,8,2,182,96,180,149,69,3
326,Raimund,Figin,California,Cholecap,14,7,17,0,11,8,142,60,88,109,71,127
327,Celestia,McPhail,Iowa,Cholecap,2,8,5,11,8,13,153,1,168,196,149,147
328,Richmound,McGeady,Texas,Cholecap,16,20,20,11,1,14,54,32,81,161,83,157
329,Mirelle,Kennagh,Florida,Cholecap,11,14,15,5,10,12,194,52,8,60,111,40
330,Jonah,Oswal,Minnesota,Cholecap,7,16,7,18,5,9,121,127,46,182,1,167
331,Debbi,Osborne,New York,Cholecap,14,18,16,7,12,11,176,167,43,153,48,3
332,Jaymee,Gonnard,New York,Cholecap,9,5,15,14,2,8,167,29,180,16,142,79
333,Jerrome,Bernardes,Ohio,Cholecap,17,20,7,0,5,18,190,2,114,129,78,23
334,Costanza,Letson,Arizona,Cholecap,6,4,13,11,9,12,0,112,49,16,59,166
335,Shelbi,Fordy,New York,Cholecap,6,3,18,10,2,19,149,129,189,61,81,157
336,Karlen,Andretti,Alabama,Cholecap,10,20,18,17,7,1,119,151,168,82,146,91
337,Matthiew,Rawcliffe,Georgia,Cholecap,17,0,8,20,6,2,155,74,102,0,125,134
338,Nadean,Northedge,California,Cholecap,11,15,5,9,3,7,65,198,163,170,53,195
339,My,Gladwish,New York,Cholecap,3,11,3,1,15,9,55,186,136,49,154,6
340,Betty,Twizell,Mississippi,Cholecap,9,5,13,16,13,10,98,80,111,106,24,19
341,Lawrence,Sparey,Louisiana,Cholecap,12,3,11,9,19,2,130,71,119,97,90,23
342,Tina,Legendre,Indiana,Cholecap,14,14,11,20,19,6,57,97,100,41,87,151
343,Atlanta,Chiverstone,Ohio,Cholecap,9,7,10,3,12,1,2,94,167,48,157,134
344,Arleen,Spada,Florida,Cholecap,13,0,10,2,10,1,110,74,21,136,131,30
345,Licha,McGarrell,South Carolina,Cholecap,7,9,0,14,7,17,125,175,131,43,130,102
346,Muffin,Aubin,New York,Cholecap,15,11,10,1,4,5,197,71,188,80,158,142
347,Tabina,Caudrelier,Virginia,Cholecap,19,3,17,8,10,11,83,166,36,73,88,29
348,Lolita,Brevetor,Georgia,Cholecap,17,12,7,10,2,19,173,71,158,44,23,165
349,Jenn,Fysh,Utah,Cholecap,6,19,12,15,1,12,28,19,178,194,169,75
350,Amaleta,Macquire,Illinois,Cholecap,2,14,0,8,14,1,200,69,21,112,126,41
351,Henka,Roches,Minnesota,Zap-a-Pain,8,2,19,4,4,4,185,30,168,62,29,63
352,Wyn,Biaggiotti,Maryland,Zap-a-Pain,15,20,20,8,16,2,192,158,75,80,30,33
353,Dewey,Helder,Florida,Zap-a-Pain,13,8,3,0,1,4,173,114,2,39,27,21
354,Dorris,Brafield,Louisiana,Zap-a-Pain,0,16,3,17,5,14,184,15,21,122,161,32
355,Doris,Fullilove,Delaware,Zap-a-Pain,6,19,8,19,10,7,85,89,135,93,80,69
356,Ingrid,Messer,Texas,Zap-a-Pain,19,12,1,9,9,7,90,126,176,39,50,198
357,Alano,Adams,Florida,Zap-a-Pain,13,0,19,15,6,13,51,66,91,7,128,181
358,Barb,Huriche,Louisiana,Zap-a-Pain,6,12,4,6,18,20,192,26,158,87,5,118
359,Prissie,Benham,New York,Zap-a-Pain,12,5,11,0,12,6,113,115,58,23,7,52
360,Aubrey,Lyddiard,Texas,Zap-a-Pain,2,19,14,11,2,16,92,108,172,20,89,129
361,Levy,Inkpin,Florida,Zap-a-Pain,11,16,0,18,12,4,75,179,83,146,39,144
362,Xavier,Pascoe,Illinois,Zap-a-Pain,9,17,16,1,3,8,3,161,144,199,197,30
363,Jamesy,Soares,Illinois,Zap-a-Pain,2,19,6,8,9,12,4,35,111,118,138,171
364,Zorah,Axleby,Tennessee,Zap-a-Pain,13,14,5,19,3,7,134,46,60,4,162,59
365,Nobie,Le Port,Florida,Zap-a-Pain,5,17,9,10,19,16,97,19,155,109,164,33
366,Maxim,Windless,California,Zap-a-Pain,20,11,19,3,6,9,1,104,34,55,60,65
367,Bren,Frood,Missouri,Zap-a-Pain,15,13,10,18,2,11,79,125,86,19,186,92
368,Brendon,Richards,Nebraska,Zap-a-Pain,8,2,13,19,11,11,154,2,24,169,56,67
369,Kelcey,Lonie,Texas,Zap-a-Pain,7,19,10,19,8,8,189,70,180,139,16,127
370,Mack,Pavkovic,Oregon,Zap-a-Pain,4,6,0,19,8,17,118,39,191,127,59,1
371,Whitman,Duiged,California,Zap-a-Pain,9,4,10,9,8,10,27,58,130,192,145,186
372,Dorian,Reeme,Indiana,Zap-a-Pain,6,3,2,15,6,2,186,168,29,180,56,56
373,Nicoli,Briffett,Colorado,Zap-a-Pain,13,6,3,4,3,15,183,152,130,2,117,69
374,Wheeler,Capes,California,Zap-a-Pain,4,6,18,20,4,20,69,158,79,108,199,196
375,Lucine,Beaten,New York,Zap-a-Pain,16,5,13,17,20,20,102,77,167,142,61,179
376,Dorri,Amys,Utah,Zap-a-Pain,1,6,8,9,18,16,5,17,51,12,162,80
377,Karil,Antoszczyk,West Virginia,Zap-a-Pain,9,18,0,8,7,10,32,36,113,35,4,78
378,Arlee,Sowrey,Virginia,Zap-a-Pain,3,4,4,12,6,3,28,193,145,190,18,99
379,Zaria,Lidgley,Louisiana,Zap-a-Pain,16,15,18,4,8,19,29,192,193,67,178,82
380,Shem,Kither,Ohio,Zap-a-Pain,6,11,5,20,19,16,170,97,156,8,184,167
381,Molli,Kurth,Texas,Zap-a-Pain,10,3,5,19,17,12,145,51,138,129,10,160
382,Ramsay,Pettendrich,Florida,Zap-a-Pain,12,4,4,10,20,1,198,108,176,36,60,29
383,Noelle,Glazebrook,Colorado,Zap-a-Pain,7,16,4,4,2,5,140,149,62,47,181,33
384,Kikelia,Whale,Indiana,Zap-a-Pain,6,3,20,19,13,18,92,172,192,83,145,136
385,Vince,Fagge,Indiana,Zap-a-Pain,13,7,0,13,2,14,110,200,159,144,19,27
386,Jolynn,Polhill,New Jersey,Zap-a-Pain,10,10,3,0,1,19,70,72,185,46,130,58
387,Kit,de Guerre,New York,Zap-a-Pain,5,11,6,14,7,15,53,92,64,185,109,156
388,Boony,Vann,New York,Zap-a-Pain,19,16,7,8,19,7,164,96,49,26,191,68
389,Pancho,Devenny,Arkansas,Zap-a-Pain,1,10,16,9,6,19,10,37,156,137,15,30
390,Mischa,Hebblewhite,Florida,Zap-a-Pain,0,12,16,4,14,2,58,157,179,191,63,161
391,Shea,Sarten,District of Columbia,Zap-a-Pain,3,1,6,15,4,4,160,123,156,75,138,168
392,Sherwin,Pittman,Oklahoma,Zap-a-Pain,17,15,20,3,19,18,50,139,123,32,118,185
393,Rustin,Kleynermans,Arizona,Zap-a-Pain,17,5,4,15,10,10,139,95,132,51,9,148
394,Benny,Goodoune,Indiana,Zap-a-Pain,8,14,16,18,20,8,61,21,18,43,101,129
395,Sarah,Wilkowski,New York,Zap-a-Pain,12,13,3,20,8,19,23,120,168,4,56,20
396,Benjy,Silverson,Texas,Zap-a-Pain,7,7,13,4,16,4,182,74,161,134,196,164
397,Clarice,Howard,North Carolina,Zap-a-Pain,19,20,12,13,7,18,151,116,37,157,42,198
398,Adelice,Biagioni,Missouri,Zap-a-Pain,5,3,1,16,20,0,98,39,122,13,153,52
399,Oralla,Vise,Pennsylvania,Zap-a-Pain,5,17,20,4,11,12,28,97,128,111,56,56
400,Dot,Rozycki,California,Zap-a-Pain,2,7,2,5,12,11,31,135,148,27,77,61
401,Tymon,Chiese,California,Zap-a-Pain,2,17,15,17,4,2,8,107,116,9,47,6
402,Adeline,Hellier,New York,Zap-a-Pain,7,13,11,9,5,2,100,17,143,27,182,66
403,Lane,Crut,California,Zap-a-Pain,20,17,0,5,15,10,82,179,3,128,9,154
404,Alison,Chippin,Minnesota,Zap-a-Pain,17,17,17,15,12,12,140,47,101,38,16,171
405,Rita,Sherreard,Florida,Zap-a-Pain,3,3,8,13,7,13,64,196,52,156,21,64
406,Veronique,Drewry,Louisiana,Zap-a-Pain,14,8,7,0,1,17,12,50,113,68,115,139
407,Sheri,Batchellor,Virginia,Zap-a-Pain,10,8,2,7,0,20,58,125,171,122,136,160
408,Rosabella,Berthe,Ohio,Zap-a-Pain,10,17,8,0,3,3,175,159,158,166,186,108
409,Rea,Quartly,District of Columbia,Zap-a-Pain,20,12,4,4,12,9,26,78,123,88,164,55
410,Roselia,Cuttelar,Washington,Zap-a-Pain,1,17,1,0,20,15,17,39,123,25,137,52
411,Filberte,Mordin,Texas,Zap-a-Pain,16,0,13,19,10,14,103,113,48,26,134,66
412,Ethelda,Brandreth,Texas,Zap-a-Pain,1,14,2,18,7,6,164,31,164,139,27,141
413,Hayward,Barclay,Virginia,Zap-a-Pain,5,0,5,1,15,9,97,75,120,52,154,74
414,Regan,Poker,Arkansas,Zap-a-Pain,5,11,4,8,14,5,27,3,81,88,71,133
415,Nanine,Monckman,Kentucky,Zap-a-Pain,13,16,5,11,5,0,168,137,196,47,94,92
416,Eugine,Simcock,Louisiana,Zap-a-Pain,1,18,16,11,3,15,94,80,116,128,25,37
417,Vivie,Durrant,Indiana,Zap-a-Pain,16,3,11,6,18,15,102,84,98,19,66,71
418,Allsun,Erb,Indiana,Zap-a-Pain,19,13,19,12,18,9,108,72,25,190,198,78
419,Heddi,Liveing,Indiana,Zap-a-Pain,7,13,4,16,12,17,177,74,22,162,130,34
420,Alix,Bitchener,Georgia,Zap-a-Pain,3,12,19,2,0,6,117,131,192,25,116,159
421,Justen,Dring,Texas,Zap-a-Pain,15,5,18,17,4,15,183,85,130,158,62,182
422,Calida,Devine,Tennessee,Zap-a-Pain,19,10,20,17,20,9,107,66,169,124,177,178
423,Claudine,Kempstone,Utah,Zap-a-Pain,16,1,15,4,6,4,121,105,113,105,188,158
424,Gary,Stilgoe,Florida,Zap-a-Pain,5,15,16,16,0,19,85,21,23,78,107,185
425,Faydra,Brimilcombe,California,Zap-a-Pain,14,5,13,8,2,2,83,72,142,152,35,161
426,Britte,Braven,North Carolina,Zap-a-Pain,19,7,11,14,11,16,104,140,115,189,118,198
427,Harmony,Peltz,New York,Zap-a-Pain,7,3,11,18,15,8,130,189,9,189,36,92
428,Nyssa,Taphouse,Florida,Zap-a-Pain,10,20,9,16,12,14,107,78,136,37,49,43
429,Sybila,Pirkis,Georgia,Zap-a-Pain,1,15,1,11,4,17,133,7,36,1,17,49
430,Geoffrey,D'Souza,California,Zap-a-Pain,0,2,1,15,16,10,116,130,38,83,184,183
431,Arin,Schubert,Georgia,Zap-a-Pain,20,14,16,0,19,4,68,46,88,13,70,87
432,Ketty,Breffitt,California,Zap-a-Pain,18,0,8,6,4,16,25,38,36,191,160,185
433,Puff,Tatterton,Pennsylvania,Zap-a-Pain,11,10,12,3,3,20,70,186,48,180,176,89
434,Frank,Matitiaho,California,Zap-a-Pain,17,1,20,13,5,8,70,109,47,95,92,166
435,Adria,Ayscough,Virginia,Zap-a-Pain,15,16,3,20,19,13,188,157,129,61,44,194
436,Franny,Segeswoeth,Texas,Zap-a-Pain,11,9,6,13,7,7,0,111,88,68,35,135
437,Bobby,Seebert,Nebraska,Zap-a-Pain,6,7,11,6,10,20,157,5,97,199,6,42
438,Maighdiln,Conrath,New York,Zap-a-Pain,3,20,16,7,15,18,137,66,84,2,124,173
439,Bev,Merrell,Maryland,Zap-a-Pain,15,10,11,10,3,4,15,177,31,178,38,123
440,Hamid,Bordiss,Texas,Zap-a-Pain,14,10,11,8,1,5,64,5,86,92,106,150
441,Hoebart,Karran,Illinois,Zap-a-Pain,17,15,19,8,16,0,143,56,133,154,193,45
442,Glendon,Axe,Ohio,Zap-a-Pain,5,20,12,13,10,9,167,36,63,197,5,139
443,Keelia,Leethem,Arkansas,Zap-a-Pain,14,6,17,6,17,18,177,171,172,133,136,161
444,Wandie,O' Liddy,Georgia,Zap-a-Pain,18,16,2,17,1,10,5,159,31,80,26,48
445,Barbaraanne,Juszczyk,Alaska,Zap-a-Pain,20,16,14,18,10,16,147,131,152,27,173,26
446,Ricardo,Spira,Virginia,Zap-a-Pain,19,6,4,4,0,10,132,129,175,16,130,154
447,Gigi,Ashburne,California,Zap-a-Pain,17,5,14,13,12,3,181,79,107,55,178,197
448,Gothart,Skelton,Ohio,Zap-a-Pain,20,6,0,7,14,1,139,11,199,108,124,18
449,Garret,Grumble,California,Zap-a-Pain,16,17,12,17,3,11,25,157,190,15,18,100
450,Aveline,Muriel,Texas,Zap-a-Pain,17,19,19,8,18,16,77,137,132,67,54,172
451,Rosabelle,Newlands,Alabama,Zap-a-Pain,15,15,11,9,19,20,174,18,143,22,141,27
452,Giustina,Iwanicki,Colorado,Zap-a-Pain,5,7,19,6,10,4,93,195,115,135,11,61
453,Clim,Stanbury,Arizona,Zap-a-Pain,5,16,3,9,19,13,10,150,149,35,70,149
454,Cross,Lashbrook,Florida,Zap-a-Pain,0,5,13,12,11,15,44,78,84,186,67,110
455,Rochester,Catterson,Illinois,Zap-a-Pain,0,18,7,19,13,2,85,155,5,58,173,149
456,Vassily,Feaks,Wisconsin,Zap-a-Pain,4,4,0,17,0,14,177,173,20,76,97,173
457,Tim,Lafond,District of Columbia,Zap-a-Pain,4,4,2,3,1,1,113,46,139,107,158,45
458,Cassandry,Houseago,Wisconsin,Zap-a-Pain,18,17,8,13,12,16,42,127,185,11,179,71
459,Kendall,Rippin,New York,Zap-a-Pain,7,7,18,19,5,15,167,149,79,105,77,34
460,Gaven,Trevillion,Colorado,Zap-a-Pain,18,7,5,12,14,6,104,170,128,80,194,65
461,Helaine,Thaim,Utah,Zap-a-Pain,9,12,18,16,14,10,38,127,23,119,169,103
462,Bambie,Harce,Virginia,Zap-a-Pain,3,13,9,18,0,18,74,200,196,134,77,95
463,Willey,Goodbourn,Louisiana,Zap-a-Pain,1,18,8,1,2,3,186,46,108,16,116,103
464,Sloane,Hallworth,Virginia,Zap-a-Pain,19,17,13,18,3,4,47,106,68,174,115,29
465,Ruprecht,Feragh,Ohio,Zap-a-Pain,11,12,18,12,20,8,23,15,118,127,41,98
466,Bernard,Lillee,Texas,Zap-a-Pain,11,1,13,2,2,16,194,35,146,166,141,41
467,Sigismondo,Camber,North Dakota,Zap-a-Pain,1,19,12,1,11,16,69,48,8,196,1,107
468,Taddeo,McCullum,Connecticut,Zap-a-Pain,0,17,2,11,18,2,154,184,3,129,163,170
469,Onfroi,Rowbottom,Vermont,Zap-a-Pain,6,1,10,17,19,9,182,106,43,146,188,108
470,Kordula,Meaden,Missouri,Zap-a-Pain,2,15,9,2,4,8,154,128,19,42,13,117
471,Erin,Jozef,Nevada,Zap-a-Pain,9,1,3,17,9,16,159,191,123,25,9,89
472,Andras,Brewood,Michigan,Zap-a-Pain,13,10,14,19,10,6,144,74,147,104,161,142
473,Brittney,Chastan,Texas,Zap-a-Pain,12,8,19,20,3,19,181,59,105,41,68,131
474,Evered,Tofts,Ohio,Zap-a-Pain,15,4,4,2,13,4,85,77,19,114,178,126
475,Dareen,Musla,Tennessee,Zap-a-Pain,10,19,17,15,16,18,58,164,131,83,164,136
476,Morgan,Gerald,North Carolina,Zap-a-Pain,6,17,19,8,12,8,154,6,24,74,185,100
477,Ferguson,Savege,Alabama,Zap-a-Pain,2,10,13,17,2,7,108,135,159,21,136,74
478,Phip,Wickenden,North Carolina,Zap-a-Pain,19,20,11,8,20,5,152,10,72,107,82,135
479,Hillary,Novakovic,Nebraska,Zap-a-Pain,17,1,15,20,14,13,177,59,180,92,59,83
480,Leif,Van den Oord,Virginia,Zap-a-Pain,0,3,19,4,0,18,107,134,130,23,116,193
481,Aaren,Polin,Massachusetts,Zap-a-Pain,6,16,0,1,10,1,10,178,110,55,112,156
482,Ethelda,Roderighi,Arkansas,Zap-a-Pain,16,11,2,10,12,2,126,92,157,153,150,6
483,Euell,Skym,Indiana,Zap-a-Pain,13,5,17,9,13,8,76,151,174,56,35,160
484,Marina,MacGown,Texas,Zap-a-Pain,10,13,3,16,0,1,97,165,94,176,40,152
485,Barbara-anne,Goldby,Florida,Zap-a-Pain,17,20,0,2,13,12,26,170,148,66,125,74
486,Livvy,Greg,Colorado,Zap-a-Pain,14,16,7,11,13,11,108,168,55,42,47,135
487,Amelina,Lawson,Washington,Zap-a-Pain,18,12,2,3,5,15,195,107,150,161,194,55
488,Pavel,Upsale,Arkansas,Zap-a-Pain,17,20,6,13,11,11,182,175,176,2,185,117
489,Allsun,Righy,District of Columbia,Zap-a-Pain,0,0,0,0,13,12,155,32,152,33,30,134
490,Foss,Boddis,Iowa,Zap-a-Pain,2,11,17,20,9,6,82,27,94,23,138,61
491,Wandie,Busst,Washington,Zap-a-Pain,19,12,9,13,19,13,62,32,72,73,28,44
492,Genevra,Simmonett,Alabama,Zap-a-Pain,2,4,10,6,12,1,166,155,38,49,170,95
493,Tore,St Ledger,Indiana,Zap-a-Pain,10,2,1,13,4,13,107,38,81,98,140,195
494,Yancey,Packe,Texas,Zap-a-Pain,9,3,1,13,5,19,31,44,3,34,11,188
495,Annissa,Quiney,Texas,Zap-a-Pain,4,11,14,13,8,7,9,158,169,3,88,137
496,Prent,McCahill,Georgia,Zap-a-Pain,0,14,9,18,18,17,139,108,184,121,147,144
497,Dur,de Clercq,Texas,Zap-a-Pain,4,3,11,19,9,0,136,187,20,112,137,47
498,Angelica,Ferrierio,California,Zap-a-Pain,6,10,3,20,16,8,137,33,133,160,112,75
499,Tedie,Kenrick,Missouri,Zap-a-Pain,4,5,11,15,14,19,191,43,2,85,71,192
500,Zelda,Bridgwood,District of Columbia,Zap-a-Pain,16,11,1,8,15,9,198,29,146,60,117,198
501,Kynthia,Treend,Texas,Zap-a-Pain,12,15,10,20,4,14,17,26,182,171,36,136
502,Caren,Dodell,Louisiana,Zap-a-Pain,3,9,18,7,4,11,63,3,197,178,101,82
503,Nickolaus,Playfair,South Carolina,Zap-a-Pain,5,3,15,5,4,8,141,18,40,24,103,66
504,Diane,Ausiello,Minnesota,Zap-a-Pain,4,2,16,1,5,0,41,60,99,1,83,83
505,Pier,Starten,Oklahoma,Zap-a-Pain,14,1,14,15,6,0,136,38,24,32,95,59
506,Lia,Gravenor,Virginia,Zap-a-Pain,14,16,18,4,10,4,33,130,75,9,175,10
507,Dee dee,Glede,New York,Zap-a-Pain,14,10,2,4,2,9,141,120,86,31,197,115
508,Venita,Hilling,District of Columbia,Zap-a-Pain,19,16,15,14,2,12,164,147,46,167,57,74
509,Angeli,Laver,Arizona,Zap-a-Pain,12,11,17,15,16,14,8,8,76,172,62,183
510,Laird,Mattiazzo,Washington,Zap-a-Pain,6,19,17,19,6,0,11,101,175,150,53,141
511,Katalin,Roskrug,Arkansas,Zap-a-Pain,19,6,20,6,11,3,43,102,31,179,84,83
512,Jody,Salzen,Mississippi,Zap-a-Pain,15,11,4,18,15,16,116,41,38,100,118,126
513,Ronda,Burridge,Iowa,Zap-a-Pain,0,0,13,5,8,6,81,128,64,100,171,102
514,Brit,Meo,Nevada,Zap-a-Pain,2,16,5,2,19,12,109,152,38,23,184,63
515,Gregory,Nibloe,Nevada,Zap-a-Pain,5,4,19,16,0,20,29,195,107,170,164,44
516,Barbabas,Obray,Colorado,Zap-a-Pain,20,1,4,10,9,13,93,42,79,110,81,101
517,Pauletta,Ickovits,Pennsylvania,Zap-a-Pain,5,17,11,19,1,2,108,42,134,38,125,72
518,Carita,Reolfi,South Carolina,Zap-a-Pain,4,11,4,0,9,11,133,122,188,108,79,13
519,Kacy,Greated,District of Columbia,Zap-a-Pain,5,4,11,19,17,8,87,41,132,64,76,9
520,Audrey,Shottin,Wisconsin,Zap-a-Pain,3,15,6,0,9,12,108,168,85,32,7,10
521,Ches,Klimus,Illinois,Zap-a-Pain,6,12,16,5,4,16,124,166,179,108,75,76
522,Suzann,Beneze,Massachusetts,Zap-a-Pain,16,4,15,16,1,12,133,158,88,13,125,117
523,Barnabe,Clougher,Texas,Zap-a-Pain,8,16,20,17,9,7,92,72,65,57,192,12
524,Saundra,Tadd,Texas,Zap-a-Pain,14,19,11,8,12,5,120,6,158,40,92,77
525,Ethelyn,Wolver,Texas,Zap-a-Pain,17,10,20,7,0,6,84,39,94,69,74,67
526,Sissy,Lynnett,Minnesota,Zap-a-Pain,8,19,5,16,20,19,126,87,106,73,59,136
527,Aguste,Lathbury,Pennsylvania,Zap-a-Pain,20,15,2,18,10,15,23,37,117,6,89,160
528,Shelley,Groomebridge,Colorado,Zap-a-Pain,16,16,5,4,17,9,191,42,103,104,109,4
529,Vivienne,Dubock,Washington,Zap-a-Pain,3,0,20,9,17,2,14,107,198,118,57,162
530,Andros,Merchant,Texas,Zap-a-Pain,10,19,11,11,8,4,137,164,45,185,171,163
531,Jeanna,Haack,California,Zap-a-Pain,15,5,15,14,0,6,149,69,75,197,73,77
532,Panchito,Jerrome,California,Zap-a-Pain,16,1,8,11,15,19,64,64,196,198,157,115
533,Cahra,Shippard,Texas,Zap-a-Pain,6,0,13,6,18,10,77,186,134,20,91,145
534,Tim,Quincey,Texas,Zap-a-Pain,16,12,6,11,11,4,160,174,112,119,14,52
535,Benni,Clericoates,Texas,Zap-a-Pain,20,11,13,14,7,15,39,111,198,117,177,12
536,Ericha,O' Faherty,Colorado,Zap-a-Pain,4,11,1,18,19,8,169,174,159,167,200,128
537,Gillie,Rivlin,Illinois,Zap-a-Pain,18,6,11,15,12,14,63,128,44,193,128,189
538,Jolynn,Kmiec,Georgia,Zap-a-Pain,11,12,16,6,0,13,20,16,69,18,186,180
539,Becki,Howford,California,Zap-a-Pain,0,10,8,4,18,8,170,180,28,32,187,104
540,Kaia,Truse,Massachusetts,Zap-a-Pain,14,11,2,8,10,15,126,169,142,144,145,57
541,Uri,Burrett,Iowa,Zap-a-Pain,8,1,8,9,13,12,3,179,11,173,190,148
542,Tamarra,Dahlborg,Florida,Zap-a-Pain,16,9,11,18,18,6,46,2,135,2,9,143
543,Edin,Monkton,Nebraska,Zap-a-Pain,20,17,10,16,10,17,165,200,167,191,79,159
544,Conney,Wynn,Texas,Zap-a-Pain,13,18,11,15,16,20,111,50,148,193,30,14
545,Abey,Torrisi,District of Columbia,Zap-a-Pain,4,18,11,10,1,10,64,9,39,40,53,4
546,Leah,Brashier,Utah,Zap-a-Pain,10,4,19,1,11,6,40,67,89,162,193,149
547,Revkah,Mattacks,Colorado,Zap-a-Pain,17,12,14,11,16,7,30,95,185,37,161,39
548,Stefa,Joron,Arizona,Zap-a-Pain,14,19,19,20,15,13,9,165,105,177,119,34
549,Yehudit,Vlasov,Colorado,Zap-a-Pain,13,3,13,17,5,6,164,6,91,165,169,0
550,Sal,Hastings,Illinois,Zap-a-Pain,19,16,19,15,11,11,196,6,195,200,81,17
551,Andrey,Louis,California,Zap-a-Pain,4,3,1,4,2,17,186,33,49,114,183,177
552,Tarrah,Cockley,Oklahoma,Zap-a-Pain,12,20,19,16,13,14,48,163,33,157,12,41
553,Charmane,Knighton,Pennsylvania,Zap-a-Pain,17,7,4,6,18,12,10,86,177,107,19,106
554,Sula,Whatsize,Hawaii,Zap-a-Pain,5,8,9,18,16,6,49,24,115,196,180,135
555,Laurie,McRory,Arkansas,Zap-a-Pain,20,13,9,19,0,6,49,192,68,9,181,200
556,Mattheus,Ratchford,Texas,Zap-a-Pain,15,7,9,19,11,8,138,21,100,146,2,190
557,Felice,Stobart,California,Zap-a-Pain,20,0,5,2,7,17,129,53,55,179,124,21
558,Dedie,Fike,Connecticut,Zap-a-Pain,15,10,19,0,19,1,192,97,187,36,114,59
559,Mercedes,Castledine,Virginia,Zap-a-Pain,5,18,11,6,4,16,27,105,175,36,73,76
560,Garrek,Agastina,Arizona,Zap-a-Pain,7,2,19,0,14,9,128,171,78,129,65,149
561,Gabi,De la Eglise,Colorado,Zap-a-Pain,10,8,11,5,12,5,69,124,181,77,108,180
562,Flossi,Bakewell,Pennsylvania,Zap-a-Pain,8,20,5,7,1,4,165,51,142,74,156,127
563,Heath,Lonsbrough,California,Zap-a-Pain,11,18,12,19,6,10,145,104,8,111,58,191
564,Karil,Kunisch,Massachusetts,Zap-a-Pain,5,6,4,4,10,19,109,59,84,103,155,41
565,Arron,Rentoll,Nebraska,Zap-a-Pain,11,4,14,7,8,20,10,115,95,65,190,76
566,Cassie,Breckwell,Mississippi,Zap-a-Pain,19,15,15,12,18,14,22,22,16,39,132,86
567,Austine,Sybe,California,Zap-a-Pain,1,8,1,8,1,11,78,142,109,88,70,106
568,Rhetta,Bristoe,Texas,Zap-a-Pain,0,1,13,5,17,7,119,96,73,81,137,112
